Pergunta;Resposta correta;Alternativas;Alternativas;Alternativas;dificuldade
Sobre o metabolismo em diferentes órgãos e tecidos, podemos dizer que:;cada órgão do corpo tem preferências metabólicas específicas, utilizando um ou outro nutriente de acordo com sua disponibilidade e com a presença de enzimas específicas em cada tecido.;todos os tecidos do corpo humano utilizam apenas glicose para obtenção de energia, uma vez que ela é o nutriente mais abundante nos alimentos.;os corpos cetônicos são provenientes das proteínas e não são utilizados pelo cérebro para gerar energia.;o cérebro usa preferencialmente os corpos cetônicos como fonte de energia.;0
NÃO é exemplo da função anabólica do organismo:;a clivagem das proteínas para gerar esqueletos carbônicos.;a polimerização da glicose em glicogênio.;a esterificação dos ácidos graxos com glicerol gerando os triacilgliceróis.;a ligação entre aminoácidos para formar proteínas.;0
Sobre o catabolismo e o anabolismo, é incorreto afirmar que:;ambas as reações consomem energia na forma de ATP.;as reações catabólicas são de quebra de moléculas maiores, e liberam energia.;as reações anabólicas são de formação de moléculas maiores, e consomem energia.;ambas são reações presentes nas vias metabólicas.;0
Sobre o metabolismo em diferentes órgãos podemos afirmar:;o músculo esquelético não disponibiliza seu glicogênio para suprir os outros tecidos do organismo com glicose.;os rins são o maior consumidor de corpos cetônicos do organismo.;o glicerol é a fonte primária de energia para o cérebro.;o músculo esquelético disponibiliza sua glicose para o bom funcionamento dos demais órgãos.;0
Marque a alternativa correta sobre o controle hormonal do metabolismo:;Os elevados níveis de glicose sanguínea inibem a liberação de glucagon pelo pâncreas.;O aumento na concentração sanguínea de ácidos graxos após uma refeição deflagra a liberação de insulina pelo pâncreas.;O glucagon e a insulina são liberados pelo fígado em resposta às concentrações séricas de glicose.;Os baixos níveis sanguíneos de glicose deflagram a liberação de insulina pelo pâncreas.;0
Sobre o controle hormonal da glicemia, qual alternativa a seguir está incorreta?;O glucagon promove a síntese de triacilgliceróis no tecido adiposo.;A insulina favorece a captação de glicose pelos tecidos e é liberada em resposta às concentrações de glicose sanguínea.;O glucagon sinaliza a quebra de glicogênio e ativa a oxidação de ácidos graxos em momentos de baixa glicemia.;A insulina promove a síntese de glicogênio e triacilgliceróis.;0
Sobre o metabolismo durante o jejum, é incorreto afirmar:;As primeiras reservas a serem consumidas são as de proteínas, pois fornecem maior quantidade de energia na forma de ATP.;O fígado reduz drasticamente seu consumo de glicose, dando preferência à oxidação de ácidos graxos.;Após o consumo da glicose exógena, o organismo inicia a quebra do glicogênio estocado para manter os níveis glicêmicos.;Algumas horas após o glicogênio começar a ser clivado o organismo já inicia a gliconeogênese.;0
Sobre o metabolismo durante o jejum, não podemos dizer que:;Apenas o fígado participa da gliconeogênese, que é a síntese de moléculas de glicose a partir de compostos não-açúcares.;A gliconeogênese consome compostos não-açúcares, como os esqueletos carbônicos de proteínas, para geração de glicose.;A gliconeogênese é a principal fonte de glicose em jejuns prolongados.;Os rins auxiliam o fígado na gliconeogênese prolongada.;0
Em jejuns acima de 24 dias, ainda consomem glicose como principal fonte energética:;Medula renal e hemáceas.;Tecido adiposo e hemáceas.;Tecido adiposo e rins.;Cérebro e coração.;0
Sobre a obesidade assinale a alternativa correta: ;A obesidade é um problema de saúde pública, a nível global, e é diretamente relacionada com o aumento da adiposidade.;A obesidade não acomete crianças por terem uma dieta regulada pelos adultos.;Atividade física contribui para o aumento no número de obesos enquanto o sedentarismo promove a diminuição.;A obesidade é resulta da diminuição da adiposidade e aumento da massa muscular. ;0
Considerando um individuo de 1,89 metros de altura e 95 quilos, calcule o Índice de massa corporal (IMC) e marque a alternativa correta:;IMC = 26,61, sobrepeso ;IMC = 34,61, obesidade grau 1 ;IMC = 18,61, abaixo do peso ;IMC = 24,61, peso ideal ;0
Assinale a alternativa que contém as principais moléculas que participam do controle da ingestão alimentar:;Leptina, grelina, insulina, GLP-1, PYY, CCK e glicose. ;Leptina, creatina, T3, GLP-1, PYY, CCK e glicose. ;Leptina, grelina, insulina, T3, CCK, testosterona e glicose.;Leptina, creatina, insulina, T3, GLP-1, vitamina D e glicose.;0
Qual região cerebral se destaca no controle da fome e saciedade? ;Hipotálamo.;Cerebelo.;Córtex.;Tálamo.;0
Os neuropeptídios e hormônios produzidos pelos órgãos periféricos (ex: leptina, grelina, insulina...) e os nervos eferentes (ex: nervo vago), participam de qual processo fisiológico?;Controle da ingestão alimentar.;Controle do comportamento reprodutivo.;Controle do sono.;Controle da sede.;0
O nervo vago é capaz de conduzir informações do trato gastrointestinal (TGI) até o SNC quando estimulado pelos seguintes mecanismos: ;CCK e distensão do TGI.;Leptina e constrição pancreática.;CCK e contrição pancreática.;T3 e distensão do TGI. ;0
A regulação da ingestão alimentar envolve quais regiões do SNC?;Hipotálamo, áreas relacionadas às emoções e cognição.;Hipotálamo e cerebelo.;Apenas o hipotálamo.;Áreas relacionadas às emoções e cognição e cerebelo. ;0
