questionName;correctAnswer;wrongAnswer1;wrongAnswer2;wrongAnswer3;difficulty;correctAnswerValue;
Além de ajudar no processo de divisão celular os centríolos auxiliam na formação de ?;Cílios e flagelos;Cílios e a acrossoma;Apenas cílios;Apenas acrossoma;1;;
Qual é a função dos cílios e dos flagelos?;Reprodução;Divisão celular;Respiração celular;Locomoção;1;;
A célula vegetal é formada por dois tipos de componentes, sendo eles :;Protoplasmático e não protoplasmático;Protoplasmático e citoplasmático;Citoesqueleto e citoplasmático;Eucariontes e procariontes;1;;
O citoplasma é a região da célula localizada entre a membrana plasmática e o núcleo, preenchida por uma substância gelatinosa (citosol), na qual estão mergulhadas as organelas citoplasmáticas. O citoplasma é dividido em duas partes , uma mais interna conhecida como __________ e a outra mais externa conhecida como __________.;Endoplasma e Ectoplasma;Citoplasma e Ectoplasma;Ectoplasma e Citoplasma;Ectoplasma e Endoplasma;1;;
As células animais não possuem  cloroplastos, por isso:;Não produzem o próprio alimento.;Possuem outra organela substituinte, o lisossomo;Possuem outra organela substituinte, o vacúolo.;Produzem o próprio alimento;1;;
Como as células animais produzem energia?;Respiração celular;Armazenamento de proteínas;Fotossíntese;Quimiossíntese;1;;
De que forma as células vegetais armazenam energia?;Como amido;Como plasmodemas;Como glicose;Como glicogênio;1;;
" De que forma as células animais armazenam energia?";Como glicogênio;Como glicose;Como amido;Como frutose;1;;
"(USU-RJ) Na mucosa intestinal, as células apresentam  grande capacidade de absorção devido à presença de: ";Microvilosidades;Vesículas fagocitárias;Cílios;Flagelos;2;;
(MOJI-SP) A membrana plasmática, apesar de  invisível ao microscópio óptico, está presente:;Em todas as células, seja ela procariótica ou eucariótica.;Apenas nas células dos eucariontes.;Apenas nas células vegetais.;Apenas nas células animais.;2;;
"(UF-AC) Quimicamente, a membrana celular é constituída principalmente por: ";Proteínas e lipídios.;Celobiose e aldeídos.;Carboidratos e ácidos nucleicos.;Acetonas e ácidos graxos.;2;;
"(UGF-93) Na maioria das células vegetais, encontram-se pontes citoplasmáticas que estabelecem continuidade entre células adjacentes. Estas pontes são denominadas: ";Plasmodesmos.;Polissomos.;Desmossomos;Microvilosidades.;2;;
(UFF-95) Assinale, dentre as estruturas abaixo, aquela que representa EXCEÇÃO à especialização da membrana plasmáica:;Cílios.;Desmossomos;Pêlos absorventes na raízes dos vegetais;Microvilosidades intestinais.;2;;
(PUC-RJ) As células animais diferem das células vegetais porque estas contêm várias estruturas e organelas características. Na lista abaixo, marque a organela ou estrutura comum às células animais e vegetais.;Membrana celular;Vacúolo;Parede celular;Centríolo;2;;
(PUC-SP) As microvilosidades presentes nas células do epitélio intestinal têm a função de:;Aumentar a superfície de absorção;Aumentar a aderência entre uma célula e outra;Sintetizar enzimas digestivas;Secretar muco;2;;
(PUC-SP) Sabe-se que células epiteliais acham-se fortemente unidas, sendo necessária uma força considerável para separá-las. Isto se deve à ação:;Dos desmossomos;Da parede celular celulósica;Da substância intercelular;Dos centríolos;2;;
(UNICENTRO 2018) Qual das alternativas abaixo apresenta os nomes de duas formas de duas formas de divisão celular?;Mitose e meiose;Fagocitose e osmose;Osmose e anáfase;Fagocitose e pinocitose;2;;
(Univag 2016/1) Células vegetais quando túrgidas não sofrem ruptura de seus envoltórios celulares, enquanto hemácias imersas em meio acentuadamente hipotônico sofrem lise celular. Nessas condições, a estrutura que confere resistência à célula vegetal e o mecanismo de transporte de substâncias são, respectivamente:;A parede celular e a osmose;O desmossomo e a bomba iônica;A carioteca e a difusão simples;O glicocálix e a pinocitose;2;;
(Fuvest 2012) O retículo endoplasmático e o complexo de Golgi são organelas celulares cujas funções estão relacionadas. O complexo de Golgi;"Recebe proteínas sintetizadas no retículo endoplasmático. ";"Envia proteínas nele sintetizadas para o retículo endoplasmático. ";"Recebe polissacarídeos sintetizados no retículo endoplasmático. ";"Envia polissacarídeos nele sintetizados para o retículo endoplasmático. ";2;;
